"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","variable","timeframe","rollingyear","value.x","value.y","difference","abs_difference"
"5000",NA,"IFI","ODA","Disbursements",2018,NA,NA,"Organisation type","Volume","Yearly",NA,22981.5999102427,-18532.2761546135,4449.3237556292,4449.3237556292
"5004",NA,"IFI","ODA","Disbursements",2019,NA,NA,"Organisation type","Volume","Yearly",NA,25854.2358921966,-21635.6214845275,4218.6144076691,4218.6144076691
"5020",NA,"IFI","ODA","Disbursements",2020,NA,NA,"Organisation type","Volume","Yearly",NA,32969.1234791703,-26958.2716601196,6010.8518190507,6010.8518190507
"5042",NA,"IFI","OOF","Commitments",2018,NA,NA,"Organisation type","Volume","Yearly",NA,52746.0293923348,-39787.6916808721,12958.3377114627,12958.3377114627
"5046",NA,"IFI","OOF","Commitments",2019,NA,NA,"Organisation type","Volume","Yearly",NA,45815.5548535032,-43956.3223557525,1859.2324977507,1859.2324977507
"5062",NA,"IFI","OOF","Commitments",2020,NA,NA,"Organisation type","Volume","Yearly",NA,58480.1021052357,-55705.7561458399,2774.3459593958,2774.3459593958
"5104",NA,"IFI","OOF","Disbursements",2020,NA,NA,"Organisation type","Volume","Yearly",NA,51956.4661998256,-50845.304353374,1111.1618464516,1111.1618464516
"5272",NA,"Multilateral","Not specified","Disbursements",2020,NA,NA,"Organisation type","Volume","Yearly",NA,1331.84620610946,-177.676382174422,1154.16982393504,1154.16982393504
"5420",NA,"Multilateral","OOF","Disbursements",2018,NA,NA,"Organisation type","Volume","Yearly",NA,3206.47467011834,-44022.2392542706,-40815.7645841523,40815.7645841523
"5424",NA,"Multilateral","OOF","Disbursements",2019,NA,NA,"Organisation type","Volume","Yearly",NA,3316.14882115888,-43596.1081625595,-40279.9593414006,40279.9593414006
"5440",NA,"Multilateral","OOF","Disbursements",2020,NA,NA,"Organisation type","Volume","Yearly",NA,3216.80029410311,-42146.7293575486,-38929.9290634455,38929.9290634455
"6302","Norway","Norway","ODA","Commitments",2018,NA,NA,"Specific donor","Volume","Yearly",NA,2923.214358364,-1796.905014313,1126.309344051,1126.309344051
"6306","Norway","Norway","ODA","Commitments",2019,NA,NA,"Specific donor","Volume","Yearly",NA,2724.1394534402,-1169.778521866,1554.3609315742,1554.3609315742
"6322","Norway","Norway","ODA","Commitments",2020,NA,NA,"Specific donor","Volume","Yearly",NA,4384.6253829534,-6013.3815018356,-1628.7561188822,1628.7561188822
"6348","Norway","Norway","ODA","Disbursements",2019,NA,NA,"Specific donor","Volume","Yearly",NA,4323.4096074172,-2538.3559991554,1785.0536082618,1785.0536082618
"7646","UK","UK","ODA","Commitments",2018,NA,NA,"Specific donor","Volume","Yearly",NA,774.566814157868,-3246.37640009782,-2471.80958593995,2471.80958593995
"7650","UK","UK","ODA","Commitments",2019,NA,NA,"Specific donor","Volume","Yearly",NA,866.956059734813,-5892.86254166217,-5025.90648192736,5025.90648192736
"7666","UK","UK","ODA","Commitments",2020,NA,NA,"Specific donor","Volume","Yearly",NA,1187.30612003117,-2797.54620355932,-1610.24008352815,1610.24008352815
"9284","UNOCHA","UNOCHA","OOF","Disbursements",2018,NA,NA,"Specific donor","Volume","Yearly",NA,131.983746263065,-40947.5145032955,-40815.5307570324,40815.5307570324
"9288","UNOCHA","UNOCHA","OOF","Disbursements",2019,NA,NA,"Specific donor","Volume","Yearly",NA,134.366026444357,-40414.0330708863,-40279.6670444419,40279.6670444419
"9304","UNOCHA","UNOCHA","OOF","Disbursements",2020,NA,NA,"Specific donor","Volume","Yearly",NA,136.587987,-39065.7971893575,-38929.2092023575,38929.2092023575
