"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","variable","value","timeframe","rollingyear"
"46","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"47","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"48","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"49","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"50","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"51","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"52","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"53","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"54","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"55","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"56","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"57","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"106","African Development Bank Group","African Development Bank Group","ODA","Commitments",2021,4,10,"Specific donor","Volume",216.305302943955,"Monthly",NA
"107","African Development Bank Group","African Development Bank Group","ODA","Commitments",2021,4,11,"Specific donor","Volume",1013.7883350696,"Monthly",NA
"108","African Development Bank Group","African Development Bank Group","ODA","Commitments",2021,4,12,"Specific donor","Volume",1710.711999053,"Monthly",NA
"109","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,1,1,"Specific donor","Volume",50.8810602818,"Monthly",NA
"110","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,1,2,"Specific donor","Volume",677.71190503963,"Monthly",NA
"111","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,1,3,"Specific donor","Volume",346.446546072504,"Monthly",NA
"112","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,2,4,"Specific donor","Volume",428.828896081132,"Monthly",NA
"113","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,2,5,"Specific donor","Volume",537.725681192344,"Monthly",NA
"114","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,2,6,"Specific donor","Volume",453.658492277126,"Monthly",NA
"115","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,3,7,"Specific donor","Volume",863.573588657868,"Monthly",NA
"116","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,3,8,"Specific donor","Volume",835.312488876814,"Monthly",NA
"117","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,3,9,"Specific donor","Volume",776.372829621074,"Monthly",NA
"166","African Development Bank Group","African Development Bank Group","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"167","African Development Bank Group","African Development Bank Group","OOF","Commitments",2021,4,11,"Specific donor","Volume",189.850629977021,"Monthly",NA
"168","African Development Bank Group","African Development Bank Group","OOF","Commitments",2021,4,12,"Specific donor","Volume",131.678517260539,"Monthly",NA
"169","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,1,1,"Specific donor","Volume",15.752636097662,"Monthly",NA
"170","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,1,2,"Specific donor","Volume",106.76786161619,"Monthly",NA
"171","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,1,3,"Specific donor","Volume",0.572543337078,"Monthly",NA
"172","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,2,4,"Specific donor","Volume",11.107495221878,"Monthly",NA
"173","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"174","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,2,6,"Specific donor","Volume",89.731298492892,"Monthly",NA
"175","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,3,7,"Specific donor","Volume",174.449229371122,"Monthly",NA
"176","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"177","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"226","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"227","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"228","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"229","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"230","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"231","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"232","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"233","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"234","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"235","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"236","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"237","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"286","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"287","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"288","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"289","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"290","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"291","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"292","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"293","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"294","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"295","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"296","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"297","Asian Development Bank","Asian Development Bank","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"346","Asian Development Bank","Asian Development Bank","ODA","Commitments",2021,4,10,"Specific donor","Volume",175.5,"Monthly",NA
"347","Asian Development Bank","Asian Development Bank","ODA","Commitments",2021,4,11,"Specific donor","Volume",250,"Monthly",NA
"348","Asian Development Bank","Asian Development Bank","ODA","Commitments",2021,4,12,"Specific donor","Volume",985.55,"Monthly",NA
"349","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"350","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"351","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,1,3,"Specific donor","Volume",610,"Monthly",NA
"352","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"353","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,2,5,"Specific donor","Volume",15,"Monthly",NA
"354","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,2,6,"Specific donor","Volume",274.4,"Monthly",NA
"355","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"356","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,3,8,"Specific donor","Volume",13.5,"Monthly",NA
"357","Asian Development Bank","Asian Development Bank","ODA","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"406","Asian Development Bank","Asian Development Bank","OOF","Commitments",2021,4,10,"Specific donor","Volume",1724.66839392,"Monthly",NA
"407","Asian Development Bank","Asian Development Bank","OOF","Commitments",2021,4,11,"Specific donor","Volume",1556.98615399,"Monthly",NA
"408","Asian Development Bank","Asian Development Bank","OOF","Commitments",2021,4,12,"Specific donor","Volume",7370.62140196,"Monthly",NA
"409","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"410","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"411","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,1,3,"Specific donor","Volume",508.85,"Monthly",NA
"412","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,2,4,"Specific donor","Volume",32,"Monthly",NA
"413","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,2,5,"Specific donor","Volume",2,"Monthly",NA
"414","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,2,6,"Specific donor","Volume",2747,"Monthly",NA
"415","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"416","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,3,8,"Specific donor","Volume",196.3,"Monthly",NA
"417","Asian Development Bank","Asian Development Bank","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"466","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"467","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"468","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"469","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"470","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"471","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"472","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"473","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"474","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"475","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"476","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"477","Asian Development Bank","Asian Development Bank","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"526","Canada","Canada","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"527","Canada","Canada","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"528","Canada","Canada","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"529","Canada","Canada","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"530","Canada","Canada","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"531","Canada","Canada","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"532","Canada","Canada","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"533","Canada","Canada","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"534","Canada","Canada","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"535","Canada","Canada","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"536","Canada","Canada","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"537","Canada","Canada","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"586","Canada","Canada","ODA","Commitments",2021,4,10,"Specific donor","Volume",150.757778793006,"Monthly",NA
"587","Canada","Canada","ODA","Commitments",2021,4,11,"Specific donor","Volume",55.2449168138,"Monthly",NA
"588","Canada","Canada","ODA","Commitments",2021,4,12,"Specific donor","Volume",100.1729474998,"Monthly",NA
"589","Canada","Canada","ODA","Commitments",2022,1,1,"Specific donor","Volume",65.168756175874,"Monthly",NA
"590","Canada","Canada","ODA","Commitments",2022,1,2,"Specific donor","Volume",120.909254731746,"Monthly",NA
"591","Canada","Canada","ODA","Commitments",2022,1,3,"Specific donor","Volume",1466.72468911345,"Monthly",NA
"592","Canada","Canada","ODA","Commitments",2022,2,4,"Specific donor","Volume",26.112515,"Monthly",NA
"593","Canada","Canada","ODA","Commitments",2022,2,5,"Specific donor","Volume",3.9546997594,"Monthly",NA
"594","Canada","Canada","ODA","Commitments",2022,2,6,"Specific donor","Volume",33.5632942619,"Monthly",NA
"595","Canada","Canada","ODA","Commitments",2022,3,7,"Specific donor","Volume",17.016172326972,"Monthly",NA
"596","Canada","Canada","ODA","Commitments",2022,3,8,"Specific donor","Volume",21.6110232,"Monthly",NA
"597","Canada","Canada","ODA","Commitments",2022,3,9,"Specific donor","Volume",2.01175,"Monthly",NA
"646","Canada","Canada","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"647","Canada","Canada","OOF","Commitments",2021,4,11,"Specific donor","Volume",1.027491874696,"Monthly",NA
"648","Canada","Canada","OOF","Commitments",2021,4,12,"Specific donor","Volume",4.399802487388,"Monthly",NA
"649","Canada","Canada","OOF","Commitments",2022,1,1,"Specific donor","Volume",6.2572940898,"Monthly",NA
"650","Canada","Canada","OOF","Commitments",2022,1,2,"Specific donor","Volume",2.01175,"Monthly",NA
"651","Canada","Canada","OOF","Commitments",2022,1,3,"Specific donor","Volume",0.3515162963,"Monthly",NA
"652","Canada","Canada","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"653","Canada","Canada","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"654","Canada","Canada","OOF","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"655","Canada","Canada","OOF","Commitments",2022,3,7,"Specific donor","Volume",4.0235,"Monthly",NA
"656","Canada","Canada","OOF","Commitments",2022,3,8,"Specific donor","Volume",0.201175,"Monthly",NA
"657","Canada","Canada","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"706","Canada","Canada","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"707","Canada","Canada","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"708","Canada","Canada","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"709","Canada","Canada","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"710","Canada","Canada","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"711","Canada","Canada","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"712","Canada","Canada","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"713","Canada","Canada","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"714","Canada","Canada","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"715","Canada","Canada","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"716","Canada","Canada","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"717","Canada","Canada","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"766","Denmark","Denmark","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"767","Denmark","Denmark","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"768","Denmark","Denmark","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"769","Denmark","Denmark","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"770","Denmark","Denmark","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"771","Denmark","Denmark","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"772","Denmark","Denmark","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"773","Denmark","Denmark","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"774","Denmark","Denmark","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"775","Denmark","Denmark","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"776","Denmark","Denmark","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"777","Denmark","Denmark","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"826","Denmark","Denmark","ODA","Commitments",2021,4,10,"Specific donor","Volume",21.9802887237,"Monthly",NA
"827","Denmark","Denmark","ODA","Commitments",2021,4,11,"Specific donor","Volume",37.03012665,"Monthly",NA
"828","Denmark","Denmark","ODA","Commitments",2021,4,12,"Specific donor","Volume",551.327742636525,"Monthly",NA
"829","Denmark","Denmark","ODA","Commitments",2022,1,1,"Specific donor","Volume",201.29760362569,"Monthly",NA
"830","Denmark","Denmark","ODA","Commitments",2022,1,2,"Specific donor","Volume",331.656372978876,"Monthly",NA
"831","Denmark","Denmark","ODA","Commitments",2022,1,3,"Specific donor","Volume",174.3817746528,"Monthly",NA
"832","Denmark","Denmark","ODA","Commitments",2022,2,4,"Specific donor","Volume",8.280299397656,"Monthly",NA
"833","Denmark","Denmark","ODA","Commitments",2022,2,5,"Specific donor","Volume",111.862782074582,"Monthly",NA
"834","Denmark","Denmark","ODA","Commitments",2022,2,6,"Specific donor","Volume",267.614176527764,"Monthly",NA
"835","Denmark","Denmark","ODA","Commitments",2022,3,7,"Specific donor","Volume",22.774210717148,"Monthly",NA
"836","Denmark","Denmark","ODA","Commitments",2022,3,8,"Specific donor","Volume",18.180301102194,"Monthly",NA
"837","Denmark","Denmark","ODA","Commitments",2022,3,9,"Specific donor","Volume",65.2986385832,"Monthly",NA
