"country","Transaction type","year","month","Value US$bn","monthname","yyyymm","Organisation type"
"Unitaid","Commitments",2021,11,0,"Nov","Nov-2021","Multilateral"
"Unitaid","Disbursements",2020,12,0.066033824,"Dec","Dec-2020","Multilateral"
"Unitaid","Disbursements",2021,1,0.013042348,"Jan","Jan-2021","Multilateral"
"Unitaid","Disbursements",2021,2,0.00074303,"Feb","Feb-2021","Multilateral"
"Unitaid","Disbursements",2021,3,0.011724735,"Mar","Mar-2021","Multilateral"
"Unitaid","Disbursements",2021,4,0.000977411,"Apr","Apr-2021","Multilateral"
"Unitaid","Disbursements",2021,5,0.032097868,"May","May-2021","Multilateral"
"Unitaid","Disbursements",2021,6,0.100208695,"Jun","Jun-2021","Multilateral"
"Unitaid","Disbursements",2021,7,0.040338939,"Jul","Jul-2021","Multilateral"
"Unitaid","Disbursements",2021,8,0.014276466,"Aug","Aug-2021","Multilateral"
"Unitaid","Disbursements",2021,9,0.030576571,"Sep","Sep-2021","Multilateral"
"Unitaid","Disbursements",2021,10,0.008024127,"Oct","Oct-2021","Multilateral"
"Unitaid","Disbursements",2021,11,0.008290337,"Nov","Nov-2021","Multilateral"
"World Bank","Commitments",2020,12,12.047250614,"Dec","Dec-2020","IFI"
"World Bank","Commitments",2021,1,1.1451e-05,"Jan","Jan-2021","IFI"
"World Bank","Commitments",2021,2,0,"Feb","Feb-2021","IFI"
"World Bank","Commitments",2021,3,14.119468482,"Mar","Mar-2021","IFI"
"World Bank","Commitments",2021,4,0,"Apr","Apr-2021","IFI"
"World Bank","Commitments",2021,5,0,"May","May-2021","IFI"
"World Bank","Commitments",2021,6,26.525400915,"Jun","Jun-2021","IFI"
"World Bank","Commitments",2021,7,0,"Jul","Jul-2021","IFI"
"World Bank","Commitments",2021,8,0,"Aug","Aug-2021","IFI"
"World Bank","Commitments",2021,9,0.524364998,"Sep","Sep-2021","IFI"
"World Bank","Commitments",2021,10,0,"Oct","Oct-2021","IFI"
"World Bank","Commitments",2021,11,-0.639243841,"Nov","Nov-2021","IFI"
"World Bank","Disbursements",2020,12,11.650370754,"Dec","Dec-2020","IFI"
"World Bank","Disbursements",2021,1,1.4294e-05,"Jan","Jan-2021","IFI"
"World Bank","Disbursements",2021,2,0,"Feb","Feb-2021","IFI"
"World Bank","Disbursements",2021,3,10.022633592,"Mar","Mar-2021","IFI"
"World Bank","Disbursements",2021,4,0,"Apr","Apr-2021","IFI"
"World Bank","Disbursements",2021,5,0,"May","May-2021","IFI"
"World Bank","Disbursements",2021,6,13.078838221,"Jun","Jun-2021","IFI"
"World Bank","Disbursements",2021,7,0,"Jul","Jul-2021","IFI"
"World Bank","Disbursements",2021,8,0,"Aug","Aug-2021","IFI"
"World Bank","Disbursements",2021,9,9.656805831,"Sep","Sep-2021","IFI"
"World Bank","Disbursements",2021,10,0,"Oct","Oct-2021","IFI"
"World Bank","Disbursements",2021,11,7.57215322399999,"Nov","Nov-2021","IFI"
"World Food Programme","Commitments",2020,12,1.670123806,"Dec","Dec-2020","Multilateral"
"World Food Programme","Commitments",2021,1,0.492423937,"Jan","Jan-2021","Multilateral"
"World Food Programme","Commitments",2021,2,0.51838052,"Feb","Feb-2021","Multilateral"
"World Food Programme","Commitments",2021,3,0.701092506,"Mar","Mar-2021","Multilateral"
"World Food Programme","Commitments",2021,4,0.753976939,"Apr","Apr-2021","Multilateral"
"World Food Programme","Commitments",2021,5,0.667748233,"May","May-2021","Multilateral"
"World Food Programme","Commitments",2021,6,0.847712575,"Jun","Jun-2021","Multilateral"
"World Food Programme","Commitments",2021,7,0.631822045,"Jul","Jul-2021","Multilateral"
"World Food Programme","Commitments",2021,8,0.740194508,"Aug","Aug-2021","Multilateral"
"World Food Programme","Commitments",2021,9,1.225535556,"Sep","Sep-2021","Multilateral"
"World Food Programme","Commitments",2021,10,0.698714847000001,"Oct","Oct-2021","Multilateral"
"World Food Programme","Commitments",2021,11,0.532477566000001,"Nov","Nov-2021","Multilateral"
"World Food Programme","Disbursements",2020,12,1.670123806,"Dec","Dec-2020","Multilateral"
"World Food Programme","Disbursements",2021,1,0.492423937,"Jan","Jan-2021","Multilateral"
"World Food Programme","Disbursements",2021,2,0.51838052,"Feb","Feb-2021","Multilateral"
"World Food Programme","Disbursements",2021,3,0.701092505999999,"Mar","Mar-2021","Multilateral"
"World Food Programme","Disbursements",2021,4,0.753976938999999,"Apr","Apr-2021","Multilateral"
"World Food Programme","Disbursements",2021,5,0.667748233000001,"May","May-2021","Multilateral"
"World Food Programme","Disbursements",2021,6,0.847712575000001,"Jun","Jun-2021","Multilateral"
"World Food Programme","Disbursements",2021,7,0.631822045,"Jul","Jul-2021","Multilateral"
"World Food Programme","Disbursements",2021,8,0.740194508000001,"Aug","Aug-2021","Multilateral"
"World Food Programme","Disbursements",2021,9,1.225535556,"Sep","Sep-2021","Multilateral"
"World Food Programme","Disbursements",2021,10,0.698714846999999,"Oct","Oct-2021","Multilateral"
"World Food Programme","Disbursements",2021,11,0.532477566,"Nov","Nov-2021","Multilateral"
