year,org_type,flow_type,transaction_type,indicator,variable,value
2020,bilateral,Not specified,disbursements,overall,absolute,10.64037224
2020,bilateral,Other flows,disbursements,overall,absolute,568.1397974
2020,ifi,Other flows,disbursements,overall,absolute,1323.663614
2020,multilateral,OOF,disbursements,overall,absolute,2799.118416
2020,multilateral,Other flows,disbursements,overall,absolute,0
2020,multilateral,Not specified,disbursements,overall,absolute,1996.366566
2018,ifi,Not specified,disbursements,overall,percent,0.083820815
2018,ifi,ODA,disbursements,overall,percent,0.287854678
2018,ifi,OOF,disbursements,overall,percent,0.607495347
2018,multilateral,ODA,disbursements,overall,percent,0.762242984
2018,bilateral,ODA,disbursements,overall,percent,0.987153645
2018,bilateral,OOF,disbursements,overall,percent,0.003266069
2018,bilateral,Not specified,disbursements,overall,percent,0.000193287
2018,bilateral,Other flows,disbursements,overall,percent,0.009386999
2018,ifi,Other flows,disbursements,overall,percent,0.02082916
2018,multilateral,OOF,disbursements,overall,percent,0.222921352
2018,multilateral,Other flows,disbursements,overall,percent,0
2018,multilateral,Not specified,disbursements,overall,percent,0.014835663
2019,ifi,Not specified,disbursements,overall,percent,0.069717977
2019,ifi,ODA,disbursements,overall,percent,0.337268611
2019,ifi,OOF,disbursements,overall,percent,0.577032272
2019,multilateral,ODA,disbursements,overall,percent,0.79675882
2019,bilateral,ODA,disbursements,overall,percent,0.988877689
2019,bilateral,OOF,disbursements,overall,percent,0.00248958
2019,bilateral,Not specified,disbursements,overall,percent,0.00044621
2019,bilateral,Other flows,disbursements,overall,percent,0.008186521
2019,ifi,Other flows,disbursements,overall,percent,0.01598114
2019,multilateral,OOF,disbursements,overall,percent,0.147943853
2019,multilateral,Other flows,disbursements,overall,percent,0
2019,multilateral,Not specified,disbursements,overall,percent,0.055297327
2020,ifi,Not specified,disbursements,overall,percent,0.083416817
2020,ifi,ODA,disbursements,overall,percent,0.440109224
2020,ifi,OOF,disbursements,overall,percent,0.457623199
2020,multilateral,ODA,disbursements,overall,percent,0.804453186
2020,bilateral,ODA,disbursements,overall,percent,0.989963833
2020,bilateral,OOF,disbursements,overall,percent,0.000150595
2020,bilateral,Not specified,disbursements,overall,percent,0.000181738
2020,bilateral,Other flows,disbursements,overall,percent,0.009703834
2020,ifi,Other flows,disbursements,overall,percent,0.01885076
2020,multilateral,OOF,disbursements,overall,percent,0.114140424
2020,multilateral,Other flows,disbursements,overall,percent,0
2020,multilateral,Not specified,disbursements,overall,percent,0.08140639
