"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","oda_oof_other","variable","value","timeframe","rollingyear"
"1593","US","US",NA,"Commitments",2020,1,NA,"Specific donor","Other flows","Volume",0.288422,"Quarterly",NA
"1594","US","US",NA,"Commitments",2020,2,NA,"Specific donor","Other flows","Volume",2.673612,"Quarterly",NA
"1595","US","US",NA,"Commitments",2020,3,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1596","US","US",NA,"Commitments",2020,4,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1597","US","US",NA,"Commitments",2021,1,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1598","US","US",NA,"Commitments",2021,2,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1599","US","US",NA,"Commitments",2021,3,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1608","World Bank","World Bank",NA,"Commitments",2019,4,NA,"Specific donor","All flows","Volume",4196.40074218,"Quarterly",NA
"1609","World Bank","World Bank",NA,"Commitments",2020,1,NA,"Specific donor","All flows","Volume",12259.23453126,"Quarterly",NA
"1610","World Bank","World Bank",NA,"Commitments",2020,2,NA,"Specific donor","All flows","Volume",29096.6248766,"Quarterly",NA
"1611","World Bank","World Bank",NA,"Commitments",2020,3,NA,"Specific donor","All flows","Volume",8756.66993821,"Quarterly",NA
"1612","World Bank","World Bank",NA,"Commitments",2020,4,NA,"Specific donor","All flows","Volume",12047.56402624,"Quarterly",NA
"1613","World Bank","World Bank",NA,"Commitments",2021,1,NA,"Specific donor","All flows","Volume",14119.479933,"Quarterly",NA
"1614","World Bank","World Bank",NA,"Commitments",2021,2,NA,"Specific donor","All flows","Volume",26283.300915,"Quarterly",NA
"1615","World Bank","World Bank",NA,"Commitments",2021,3,NA,"Specific donor","All flows","Volume",524.364998,"Quarterly",NA
"16241","World Bank","World Bank",NA,"Commitments",2019,4,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"16251","World Bank","World Bank",NA,"Commitments",2020,1,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"16261","World Bank","World Bank",NA,"Commitments",2020,2,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"16271","World Bank","World Bank",NA,"Commitments",2020,3,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"16281","World Bank","World Bank",NA,"Commitments",2020,4,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"16291","World Bank","World Bank",NA,"Commitments",2021,1,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1630","World Bank","World Bank",NA,"Commitments",2021,2,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1631","World Bank","World Bank",NA,"Commitments",2021,3,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1640","World Bank","World Bank",NA,"Commitments",2019,4,NA,"Specific donor","ODA","Volume",2400.30866418,"Quarterly",NA
"1641","World Bank","World Bank",NA,"Commitments",2020,1,NA,"Specific donor","ODA","Volume",7465.53620725999,"Quarterly",NA
"1642","World Bank","World Bank",NA,"Commitments",2020,2,NA,"Specific donor","ODA","Volume",15971.1189336,"Quarterly",NA
"1643","World Bank","World Bank",NA,"Commitments",2020,3,NA,"Specific donor","ODA","Volume",6973.03577721,"Quarterly",NA
"1644","World Bank","World Bank",NA,"Commitments",2020,4,NA,"Specific donor","ODA","Volume",5821.888477,"Quarterly",NA
"1645","World Bank","World Bank",NA,"Commitments",2021,1,NA,"Specific donor","ODA","Volume",6540.472594,"Quarterly",NA
"1646","World Bank","World Bank",NA,"Commitments",2021,2,NA,"Specific donor","ODA","Volume",14798.66669,"Quarterly",NA
"1647","World Bank","World Bank",NA,"Commitments",2021,3,NA,"Specific donor","ODA","Volume",405.617116,"Quarterly",NA
"1656","World Bank","World Bank",NA,"Commitments",2019,4,NA,"Specific donor","OOF","Volume",1796.092078,"Quarterly",NA
"1657","World Bank","World Bank",NA,"Commitments",2020,1,NA,"Specific donor","OOF","Volume",4793.698324,"Quarterly",NA
"1658","World Bank","World Bank",NA,"Commitments",2020,2,NA,"Specific donor","OOF","Volume",13125.505943,"Quarterly",NA
"1659","World Bank","World Bank",NA,"Commitments",2020,3,NA,"Specific donor","OOF","Volume",1783.634161,"Quarterly",NA
"1660","World Bank","World Bank",NA,"Commitments",2020,4,NA,"Specific donor","OOF","Volume",6225.67554924,"Quarterly",NA
"1661","World Bank","World Bank",NA,"Commitments",2021,1,NA,"Specific donor","OOF","Volume",7579.007339,"Quarterly",NA
"1662","World Bank","World Bank",NA,"Commitments",2021,2,NA,"Specific donor","OOF","Volume",11484.634225,"Quarterly",NA
"1663","World Bank","World Bank",NA,"Commitments",2021,3,NA,"Specific donor","OOF","Volume",118.747882,"Quarterly",NA
"16721","World Bank","World Bank",NA,"Commitments",2019,4,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"16731","World Bank","World Bank",NA,"Commitments",2020,1,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"16741","World Bank","World Bank",NA,"Commitments",2020,2,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"16751","World Bank","World Bank",NA,"Commitments",2020,3,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"16761","World Bank","World Bank",NA,"Commitments",2020,4,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"16771","World Bank","World Bank",NA,"Commitments",2021,1,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1678","World Bank","World Bank",NA,"Commitments",2021,2,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1679","World Bank","World Bank",NA,"Commitments",2021,3,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1688","World Food Programme","World Food Programme",NA,"Commitments",2019,4,NA,"Specific donor","All flows","Volume",2611.565566,"Quarterly",NA
"1689","World Food Programme","World Food Programme",NA,"Commitments",2020,1,NA,"Specific donor","All flows","Volume",1721.453481,"Quarterly",NA
"1690","World Food Programme","World Food Programme",NA,"Commitments",2020,2,NA,"Specific donor","All flows","Volume",1643.798062,"Quarterly",NA
"1691","World Food Programme","World Food Programme",NA,"Commitments",2020,3,NA,"Specific donor","All flows","Volume",1833.33211,"Quarterly",NA
"1692","World Food Programme","World Food Programme",NA,"Commitments",2020,4,NA,"Specific donor","All flows","Volume",2883.537421,"Quarterly",NA
"1693","World Food Programme","World Food Programme",NA,"Commitments",2021,1,NA,"Specific donor","All flows","Volume",1716.792559,"Quarterly",NA
"1694","World Food Programme","World Food Programme",NA,"Commitments",2021,2,NA,"Specific donor","All flows","Volume",2267.367012,"Quarterly",NA
"1695","World Food Programme","World Food Programme",NA,"Commitments",2021,3,NA,"Specific donor","All flows","Volume",2597.552109,"Quarterly",NA
"1704","World Food Programme","World Food Programme",NA,"Commitments",2019,4,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1705","World Food Programme","World Food Programme",NA,"Commitments",2020,1,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1706","World Food Programme","World Food Programme",NA,"Commitments",2020,2,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1707","World Food Programme","World Food Programme",NA,"Commitments",2020,3,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1708","World Food Programme","World Food Programme",NA,"Commitments",2020,4,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1709","World Food Programme","World Food Programme",NA,"Commitments",2021,1,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1710","World Food Programme","World Food Programme",NA,"Commitments",2021,2,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"1711","World Food Programme","World Food Programme",NA,"Commitments",2021,3,NA,"Specific donor","Not specified","Volume",0,"Quarterly",NA
"17201","World Food Programme","World Food Programme",NA,"Commitments",2019,4,NA,"Specific donor","ODA","Volume",2611.565566,"Quarterly",NA
"17211","World Food Programme","World Food Programme",NA,"Commitments",2020,1,NA,"Specific donor","ODA","Volume",1721.453481,"Quarterly",NA
"17221","World Food Programme","World Food Programme",NA,"Commitments",2020,2,NA,"Specific donor","ODA","Volume",1643.798062,"Quarterly",NA
"17231","World Food Programme","World Food Programme",NA,"Commitments",2020,3,NA,"Specific donor","ODA","Volume",1833.33211,"Quarterly",NA
"17241","World Food Programme","World Food Programme",NA,"Commitments",2020,4,NA,"Specific donor","ODA","Volume",2883.537421,"Quarterly",NA
"17251","World Food Programme","World Food Programme",NA,"Commitments",2021,1,NA,"Specific donor","ODA","Volume",1716.792559,"Quarterly",NA
"1726","World Food Programme","World Food Programme",NA,"Commitments",2021,2,NA,"Specific donor","ODA","Volume",2267.367012,"Quarterly",NA
"1727","World Food Programme","World Food Programme",NA,"Commitments",2021,3,NA,"Specific donor","ODA","Volume",2597.552109,"Quarterly",NA
"1736","World Food Programme","World Food Programme",NA,"Commitments",2019,4,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1737","World Food Programme","World Food Programme",NA,"Commitments",2020,1,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1738","World Food Programme","World Food Programme",NA,"Commitments",2020,2,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1739","World Food Programme","World Food Programme",NA,"Commitments",2020,3,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1740","World Food Programme","World Food Programme",NA,"Commitments",2020,4,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1741","World Food Programme","World Food Programme",NA,"Commitments",2021,1,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1742","World Food Programme","World Food Programme",NA,"Commitments",2021,2,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1743","World Food Programme","World Food Programme",NA,"Commitments",2021,3,NA,"Specific donor","OOF","Volume",0,"Quarterly",NA
"1752","World Food Programme","World Food Programme",NA,"Commitments",2019,4,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1753","World Food Programme","World Food Programme",NA,"Commitments",2020,1,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1754","World Food Programme","World Food Programme",NA,"Commitments",2020,2,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1755","World Food Programme","World Food Programme",NA,"Commitments",2020,3,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1756","World Food Programme","World Food Programme",NA,"Commitments",2020,4,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1757","World Food Programme","World Food Programme",NA,"Commitments",2021,1,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1758","World Food Programme","World Food Programme",NA,"Commitments",2021,2,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"1759","World Food Programme","World Food Programme",NA,"Commitments",2021,3,NA,"Specific donor","Other flows","Volume",0,"Quarterly",NA
"17681",NA,"Bilateral",NA,"Commitments",2019,4,NA,"Organisation type","All flows","Volume",25911.1692025536,"Quarterly",NA
"17691",NA,"Bilateral",NA,"Commitments",2020,1,NA,"Organisation type","All flows","Volume",27262.5231310338,"Quarterly",NA
"17701",NA,"Bilateral",NA,"Commitments",2020,2,NA,"Organisation type","All flows","Volume",15649.2138245311,"Quarterly",NA
"17711",NA,"Bilateral",NA,"Commitments",2020,3,NA,"Organisation type","All flows","Volume",25381.8128008898,"Quarterly",NA
"17721",NA,"Bilateral",NA,"Commitments",2020,4,NA,"Organisation type","All flows","Volume",26013.8246245973,"Quarterly",NA
"17731",NA,"Bilateral",NA,"Commitments",2021,1,NA,"Organisation type","All flows","Volume",19722.9413706613,"Quarterly",NA
"1774",NA,"Bilateral",NA,"Commitments",2021,2,NA,"Organisation type","All flows","Volume",11017.0496035292,"Quarterly",NA
"1775",NA,"Bilateral",NA,"Commitments",2021,3,NA,"Organisation type","All flows","Volume",25133.1150199308,"Quarterly",NA
"1784",NA,"Bilateral",NA,"Commitments",2019,4,NA,"Organisation type","Not specified","Volume",0.081774651805,"Quarterly",NA
"1785",NA,"Bilateral",NA,"Commitments",2020,1,NA,"Organisation type","Not specified","Volume",0.023873070465,"Quarterly",NA
"1786",NA,"Bilateral",NA,"Commitments",2020,2,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1787",NA,"Bilateral",NA,"Commitments",2020,3,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1788",NA,"Bilateral",NA,"Commitments",2020,4,NA,"Organisation type","Not specified","Volume",-0.0031317975,"Quarterly",NA
"1789",NA,"Bilateral",NA,"Commitments",2021,1,NA,"Organisation type","Not specified","Volume",0.0080763507,"Quarterly",NA
"1790",NA,"Bilateral",NA,"Commitments",2021,2,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1791",NA,"Bilateral",NA,"Commitments",2021,3,NA,"Organisation type","Not specified","Volume",0.023270841,"Quarterly",NA
"1800",NA,"Bilateral",NA,"Commitments",2019,4,NA,"Organisation type","ODA","Volume",25224.1222713756,"Quarterly",NA
"1801",NA,"Bilateral",NA,"Commitments",2020,1,NA,"Organisation type","ODA","Volume",27044.5920790251,"Quarterly",NA
"1802",NA,"Bilateral",NA,"Commitments",2020,2,NA,"Organisation type","ODA","Volume",14585.334983134,"Quarterly",NA
"1803",NA,"Bilateral",NA,"Commitments",2020,3,NA,"Organisation type","ODA","Volume",22558.875927956,"Quarterly",NA
"1804",NA,"Bilateral",NA,"Commitments",2020,4,NA,"Organisation type","ODA","Volume",25318.1153288467,"Quarterly",NA
"1805",NA,"Bilateral",NA,"Commitments",2021,1,NA,"Organisation type","ODA","Volume",19698.3637947099,"Quarterly",NA
"1806",NA,"Bilateral",NA,"Commitments",2021,2,NA,"Organisation type","ODA","Volume",11015.9626465568,"Quarterly",NA
"1807",NA,"Bilateral",NA,"Commitments",2021,3,NA,"Organisation type","ODA","Volume",25124.3929919601,"Quarterly",NA
"18161",NA,"Bilateral",NA,"Commitments",2019,4,NA,"Organisation type","OOF","Volume",663.753978660053,"Quarterly",NA
"18171",NA,"Bilateral",NA,"Commitments",2020,1,NA,"Organisation type","OOF","Volume",43.4580550844137,"Quarterly",NA
"18181",NA,"Bilateral",NA,"Commitments",2020,2,NA,"Organisation type","OOF","Volume",1064.15829479926,"Quarterly",NA
"18191",NA,"Bilateral",NA,"Commitments",2020,3,NA,"Organisation type","OOF","Volume",2801.24559585388,"Quarterly",NA
"18201",NA,"Bilateral",NA,"Commitments",2020,4,NA,"Organisation type","OOF","Volume",674.78575999216,"Quarterly",NA
"18211",NA,"Bilateral",NA,"Commitments",2021,1,NA,"Organisation type","OOF","Volume",4.9956812232,"Quarterly",NA
"1822",NA,"Bilateral",NA,"Commitments",2021,2,NA,"Organisation type","OOF","Volume",0,"Quarterly",NA
"1823",NA,"Bilateral",NA,"Commitments",2021,3,NA,"Organisation type","OOF","Volume",1.0583960883,"Quarterly",NA
"1832",NA,"Bilateral",NA,"Commitments",2019,4,NA,"Organisation type","Other flows","Volume",23.2111778661315,"Quarterly",NA
"1833",NA,"Bilateral",NA,"Commitments",2020,1,NA,"Organisation type","Other flows","Volume",174.449123853888,"Quarterly",NA
"1834",NA,"Bilateral",NA,"Commitments",2020,2,NA,"Organisation type","Other flows","Volume",-0.279453402090002,"Quarterly",NA
"1835",NA,"Bilateral",NA,"Commitments",2020,3,NA,"Organisation type","Other flows","Volume",21.69127707993,"Quarterly",NA
"1836",NA,"Bilateral",NA,"Commitments",2020,4,NA,"Organisation type","Other flows","Volume",20.92666755591,"Quarterly",NA
"1837",NA,"Bilateral",NA,"Commitments",2021,1,NA,"Organisation type","Other flows","Volume",19.5738183775153,"Quarterly",NA
"1838",NA,"Bilateral",NA,"Commitments",2021,2,NA,"Organisation type","Other flows","Volume",1.0869569723988,"Quarterly",NA
"1839",NA,"Bilateral",NA,"Commitments",2021,3,NA,"Organisation type","Other flows","Volume",7.64036104133175,"Quarterly",NA
"1848",NA,"IFI",NA,"Commitments",2019,4,NA,"Organisation type","All flows","Volume",10484.4475743046,"Quarterly",NA
"1849",NA,"IFI",NA,"Commitments",2020,1,NA,"Organisation type","All flows","Volume",14018.1740226017,"Quarterly",NA
"1850",NA,"IFI",NA,"Commitments",2020,2,NA,"Organisation type","All flows","Volume",37758.2937855847,"Quarterly",NA
"1851",NA,"IFI",NA,"Commitments",2020,3,NA,"Organisation type","All flows","Volume",13770.4384412763,"Quarterly",NA
"1852",NA,"IFI",NA,"Commitments",2020,4,NA,"Organisation type","All flows","Volume",15953.6180669555,"Quarterly",NA
"1853",NA,"IFI",NA,"Commitments",2021,1,NA,"Organisation type","All flows","Volume",15536.0422630465,"Quarterly",NA
"1854",NA,"IFI",NA,"Commitments",2021,2,NA,"Organisation type","All flows","Volume",30086.8755640681,"Quarterly",NA
"1855",NA,"IFI",NA,"Commitments",2021,3,NA,"Organisation type","All flows","Volume",3117.97554238867,"Quarterly",NA
"18641",NA,"IFI",NA,"Commitments",2019,4,NA,"Organisation type","Not specified","Volume",44.975,"Quarterly",NA
"18651",NA,"IFI",NA,"Commitments",2020,1,NA,"Organisation type","Not specified","Volume",160,"Quarterly",NA
"18661",NA,"IFI",NA,"Commitments",2020,2,NA,"Organisation type","Not specified","Volume",160,"Quarterly",NA
"18671",NA,"IFI",NA,"Commitments",2020,3,NA,"Organisation type","Not specified","Volume",203.17,"Quarterly",NA
"18681",NA,"IFI",NA,"Commitments",2020,4,NA,"Organisation type","Not specified","Volume",180.6,"Quarterly",NA
"18691",NA,"IFI",NA,"Commitments",2021,1,NA,"Organisation type","Not specified","Volume",3,"Quarterly",NA
"1870",NA,"IFI",NA,"Commitments",2021,2,NA,"Organisation type","Not specified","Volume",180,"Quarterly",NA
"1871",NA,"IFI",NA,"Commitments",2021,3,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1880",NA,"IFI",NA,"Commitments",2019,4,NA,"Organisation type","ODA","Volume",2683.63366418,"Quarterly",NA
"1881",NA,"IFI",NA,"Commitments",2020,1,NA,"Organisation type","ODA","Volume",7465.53620725999,"Quarterly",NA
"1882",NA,"IFI",NA,"Commitments",2020,2,NA,"Organisation type","ODA","Volume",16141.9689336,"Quarterly",NA
"1883",NA,"IFI",NA,"Commitments",2020,3,NA,"Organisation type","ODA","Volume",7172.19577720999,"Quarterly",NA
"1884",NA,"IFI",NA,"Commitments",2020,4,NA,"Organisation type","ODA","Volume",5963.163477,"Quarterly",NA
"1885",NA,"IFI",NA,"Commitments",2021,1,NA,"Organisation type","ODA","Volume",6540.472594,"Quarterly",NA
"1886",NA,"IFI",NA,"Commitments",2021,2,NA,"Organisation type","ODA","Volume",14918.66669,"Quarterly",NA
"1887",NA,"IFI",NA,"Commitments",2021,3,NA,"Organisation type","ODA","Volume",405.617116,"Quarterly",NA
"1896",NA,"IFI",NA,"Commitments",2019,4,NA,"Organisation type","OOF","Volume",4488.292078,"Quarterly",NA
"1897",NA,"IFI",NA,"Commitments",2020,1,NA,"Organisation type","OOF","Volume",5122.098324,"Quarterly",NA
"1898",NA,"IFI",NA,"Commitments",2020,2,NA,"Organisation type","OOF","Volume",18871.305943,"Quarterly",NA
"1899",NA,"IFI",NA,"Commitments",2020,3,NA,"Organisation type","OOF","Volume",3658.634161,"Quarterly",NA
"1900",NA,"IFI",NA,"Commitments",2020,4,NA,"Organisation type","OOF","Volume",7430.04817524,"Quarterly",NA
"1901",NA,"IFI",NA,"Commitments",2021,1,NA,"Organisation type","OOF","Volume",7901.870079,"Quarterly",NA
"1902",NA,"IFI",NA,"Commitments",2021,2,NA,"Organisation type","OOF","Volume",13128.934225,"Quarterly",NA
"1903",NA,"IFI",NA,"Commitments",2021,3,NA,"Organisation type","OOF","Volume",522.747882,"Quarterly",NA
"19121",NA,"IFI",NA,"Commitments",2019,4,NA,"Organisation type","Other flows","Volume",3267.5468321246,"Quarterly",NA
"19131",NA,"IFI",NA,"Commitments",2020,1,NA,"Organisation type","Other flows","Volume",1270.53949134168,"Quarterly",NA
"19141",NA,"IFI",NA,"Commitments",2020,2,NA,"Organisation type","Other flows","Volume",2585.01890898464,"Quarterly",NA
"19151",NA,"IFI",NA,"Commitments",2020,3,NA,"Organisation type","Other flows","Volume",2736.43850306628,"Quarterly",NA
"19161",NA,"IFI",NA,"Commitments",2020,4,NA,"Organisation type","Other flows","Volume",2379.80641471546,"Quarterly",NA
"19171",NA,"IFI",NA,"Commitments",2021,1,NA,"Organisation type","Other flows","Volume",1090.69959004649,"Quarterly",NA
"1918",NA,"IFI",NA,"Commitments",2021,2,NA,"Organisation type","Other flows","Volume",1859.27464906809,"Quarterly",NA
"1919",NA,"IFI",NA,"Commitments",2021,3,NA,"Organisation type","Other flows","Volume",2189.61054438867,"Quarterly",NA
"1928",NA,"Multilateral",NA,"Commitments",2019,4,NA,"Organisation type","All flows","Volume",4058.66953706001,"Quarterly",NA
"1929",NA,"Multilateral",NA,"Commitments",2020,1,NA,"Organisation type","All flows","Volume",2479.73492809,"Quarterly",NA
"1930",NA,"Multilateral",NA,"Commitments",2020,2,NA,"Organisation type","All flows","Volume",2529.50167038,"Quarterly",NA
"1931",NA,"Multilateral",NA,"Commitments",2020,3,NA,"Organisation type","All flows","Volume",2651.69295202,"Quarterly",NA
"1932",NA,"Multilateral",NA,"Commitments",2020,4,NA,"Organisation type","All flows","Volume",4492.88654539,"Quarterly",NA
"1933",NA,"Multilateral",NA,"Commitments",2021,1,NA,"Organisation type","All flows","Volume",4851.16997805,"Quarterly",NA
"1934",NA,"Multilateral",NA,"Commitments",2021,2,NA,"Organisation type","All flows","Volume",3078.09947278,"Quarterly",NA
"1935",NA,"Multilateral",NA,"Commitments",2021,3,NA,"Organisation type","All flows","Volume",4258.98810036,"Quarterly",NA
"1944",NA,"Multilateral",NA,"Commitments",2019,4,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1945",NA,"Multilateral",NA,"Commitments",2020,1,NA,"Organisation type","Not specified","Volume",6.962027,"Quarterly",NA
"1946",NA,"Multilateral",NA,"Commitments",2020,2,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1947",NA,"Multilateral",NA,"Commitments",2020,3,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1948",NA,"Multilateral",NA,"Commitments",2020,4,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1949",NA,"Multilateral",NA,"Commitments",2021,1,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1950",NA,"Multilateral",NA,"Commitments",2021,2,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"1951",NA,"Multilateral",NA,"Commitments",2021,3,NA,"Organisation type","Not specified","Volume",0,"Quarterly",NA
"19601",NA,"Multilateral",NA,"Commitments",2019,4,NA,"Organisation type","ODA","Volume",3164.26387586,"Quarterly",NA
"19611",NA,"Multilateral",NA,"Commitments",2020,1,NA,"Organisation type","ODA","Volume",2297.63049038,"Quarterly",NA
"19621",NA,"Multilateral",NA,"Commitments",2020,2,NA,"Organisation type","ODA","Volume",2521.45007638,"Quarterly",NA
"19631",NA,"Multilateral",NA,"Commitments",2020,3,NA,"Organisation type","ODA","Volume",2635.58062702,"Quarterly",NA
"19641",NA,"Multilateral",NA,"Commitments",2020,4,NA,"Organisation type","ODA","Volume",4492.88654539,"Quarterly",NA
"19651",NA,"Multilateral",NA,"Commitments",2021,1,NA,"Organisation type","ODA","Volume",4701.29820313,"Quarterly",NA
"1966",NA,"Multilateral",NA,"Commitments",2021,2,NA,"Organisation type","ODA","Volume",3033.15044178,"Quarterly",NA
"1967",NA,"Multilateral",NA,"Commitments",2021,3,NA,"Organisation type","ODA","Volume",4223.50301636,"Quarterly",NA
"1976",NA,"Multilateral",NA,"Commitments",2019,4,NA,"Organisation type","OOF","Volume",894.405661200006,"Quarterly",NA
"1977",NA,"Multilateral",NA,"Commitments",2020,1,NA,"Organisation type","OOF","Volume",175.14241071,"Quarterly",NA
"1978",NA,"Multilateral",NA,"Commitments",2020,2,NA,"Organisation type","OOF","Volume",8.051594,"Quarterly",NA
"1979",NA,"Multilateral",NA,"Commitments",2020,3,NA,"Organisation type","OOF","Volume",16.112325,"Quarterly",NA
"1980",NA,"Multilateral",NA,"Commitments",2020,4,NA,"Organisation type","OOF","Volume",0,"Quarterly",NA
"1981",NA,"Multilateral",NA,"Commitments",2021,1,NA,"Organisation type","OOF","Volume",149.87177492,"Quarterly",NA
"1982",NA,"Multilateral",NA,"Commitments",2021,2,NA,"Organisation type","OOF","Volume",44.949031,"Quarterly",NA
"1983",NA,"Multilateral",NA,"Commitments",2021,3,NA,"Organisation type","OOF","Volume",35.485084,"Quarterly",NA
"1992",NA,"Multilateral",NA,"Commitments",2019,4,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"1993",NA,"Multilateral",NA,"Commitments",2020,1,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"1994",NA,"Multilateral",NA,"Commitments",2020,2,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"1995",NA,"Multilateral",NA,"Commitments",2020,3,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"1996",NA,"Multilateral",NA,"Commitments",2020,4,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"1997",NA,"Multilateral",NA,"Commitments",2021,1,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"1998",NA,"Multilateral",NA,"Commitments",2021,2,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"1999",NA,"Multilateral",NA,"Commitments",2021,3,NA,"Organisation type","Other flows","Volume",0,"Quarterly",NA
"20081","Belgium","Belgium",NA,"Commitments",2019,4,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"20091","Belgium","Belgium",NA,"Commitments",2020,1,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"20101","Belgium","Belgium",NA,"Commitments",2020,2,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"20111","Belgium","Belgium",NA,"Commitments",2020,3,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"20121","Belgium","Belgium",NA,"Commitments",2020,4,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"20131","Belgium","Belgium",NA,"Commitments",2021,1,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"2014","Belgium","Belgium",NA,"Commitments",2021,2,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"2015","Belgium","Belgium",NA,"Commitments",2021,3,NA,"Specific donor","All flows","Proportion",1,"Quarterly",NA
"2024","Belgium","Belgium",NA,"Commitments",2019,4,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2025","Belgium","Belgium",NA,"Commitments",2020,1,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2026","Belgium","Belgium",NA,"Commitments",2020,2,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2027","Belgium","Belgium",NA,"Commitments",2020,3,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2028","Belgium","Belgium",NA,"Commitments",2020,4,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2029","Belgium","Belgium",NA,"Commitments",2021,1,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2030","Belgium","Belgium",NA,"Commitments",2021,2,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2031","Belgium","Belgium",NA,"Commitments",2021,3,NA,"Specific donor","Not specified","Proportion",0,"Quarterly",NA
"2040","Belgium","Belgium",NA,"Commitments",2019,4,NA,"Specific donor","ODA","Proportion",1,"Quarterly",NA
"2041","Belgium","Belgium",NA,"Commitments",2020,1,NA,"Specific donor","ODA","Proportion",1,"Quarterly",NA
"2042","Belgium","Belgium",NA,"Commitments",2020,2,NA,"Specific donor","ODA","Proportion",1,"Quarterly",NA
