"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","oda_oof_other","variable","value","timeframe","rollingyear"
"189","Belgium","Belgium",NA,"Commitments",2021,3,9,"Specific donor","OOF","Volume",0,"Monthly",NA
"226","Belgium","Belgium",NA,"Commitments",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"227","Belgium","Belgium",NA,"Commitments",2020,4,11,"Specific donor","Other flows","Volume",0,"Monthly",NA
"228","Belgium","Belgium",NA,"Commitments",2020,4,12,"Specific donor","Other flows","Volume",0,"Monthly",NA
"229","Belgium","Belgium",NA,"Commitments",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"230","Belgium","Belgium",NA,"Commitments",2021,1,2,"Specific donor","Other flows","Volume",0,"Monthly",NA
"231","Belgium","Belgium",NA,"Commitments",2021,1,3,"Specific donor","Other flows","Volume",0,"Monthly",NA
"232","Belgium","Belgium",NA,"Commitments",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"233","Belgium","Belgium",NA,"Commitments",2021,2,5,"Specific donor","Other flows","Volume",0,"Monthly",NA
"234","Belgium","Belgium",NA,"Commitments",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"235","Belgium","Belgium",NA,"Commitments",2021,3,7,"Specific donor","Other flows","Volume",0,"Monthly",NA
"236","Belgium","Belgium",NA,"Commitments",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"237","Belgium","Belgium",NA,"Commitments",2021,3,9,"Specific donor","Other flows","Volume",0,"Monthly",NA
"274","Canada","Canada",NA,"Commitments",2020,4,10,"Specific donor","All flows","Volume",29.655162192398,"Monthly",NA
"275","Canada","Canada",NA,"Commitments",2020,4,11,"Specific donor","All flows","Volume",167.6778645956,"Monthly",NA
"276","Canada","Canada",NA,"Commitments",2020,4,12,"Specific donor","All flows","Volume",26.1579071688,"Monthly",NA
"277","Canada","Canada",NA,"Commitments",2021,1,1,"Specific donor","All flows","Volume",56.738500437894,"Monthly",NA
"278","Canada","Canada",NA,"Commitments",2021,1,2,"Specific donor","All flows","Volume",51.758045335863,"Monthly",NA
"279","Canada","Canada",NA,"Commitments",2021,1,3,"Specific donor","All flows","Volume",976.929369510965,"Monthly",NA
"280","Canada","Canada",NA,"Commitments",2021,2,4,"Specific donor","All flows","Volume",58.953793029,"Monthly",NA
"281","Canada","Canada",NA,"Commitments",2021,2,5,"Specific donor","All flows","Volume",19.377816195,"Monthly",NA
"282","Canada","Canada",NA,"Commitments",2021,2,6,"Specific donor","All flows","Volume",21.3013176645,"Monthly",NA
"283","Canada","Canada",NA,"Commitments",2021,3,7,"Specific donor","All flows","Volume",96.7504816986,"Monthly",NA
"284","Canada","Canada",NA,"Commitments",2021,3,8,"Specific donor","All flows","Volume",30.876,"Monthly",NA
"285","Canada","Canada",NA,"Commitments",2021,3,9,"Specific donor","All flows","Volume",73.0374551121,"Monthly",NA
"322","Canada","Canada",NA,"Commitments",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"323","Canada","Canada",NA,"Commitments",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"324","Canada","Canada",NA,"Commitments",2020,4,12,"Specific donor","Not specified","Volume",0,"Monthly",NA
"325","Canada","Canada",NA,"Commitments",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"326","Canada","Canada",NA,"Commitments",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"327","Canada","Canada",NA,"Commitments",2021,1,3,"Specific donor","Not specified","Volume",0,"Monthly",NA
"328","Canada","Canada",NA,"Commitments",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"329","Canada","Canada",NA,"Commitments",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"330","Canada","Canada",NA,"Commitments",2021,2,6,"Specific donor","Not specified","Volume",0,"Monthly",NA
"331","Canada","Canada",NA,"Commitments",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
"332","Canada","Canada",NA,"Commitments",2021,3,8,"Specific donor","Not specified","Volume",0,"Monthly",NA
"333","Canada","Canada",NA,"Commitments",2021,3,9,"Specific donor","Not specified","Volume",0,"Monthly",NA
"370","Canada","Canada",NA,"Commitments",2020,4,10,"Specific donor","ODA","Volume",29.655162192398,"Monthly",NA
"371","Canada","Canada",NA,"Commitments",2020,4,11,"Specific donor","ODA","Volume",167.6778645956,"Monthly",NA
"372","Canada","Canada",NA,"Commitments",2020,4,12,"Specific donor","ODA","Volume",26.1579071688,"Monthly",NA
"373","Canada","Canada",NA,"Commitments",2021,1,1,"Specific donor","ODA","Volume",56.738500437894,"Monthly",NA
"374","Canada","Canada",NA,"Commitments",2021,1,2,"Specific donor","ODA","Volume",51.758045335863,"Monthly",NA
"375","Canada","Canada",NA,"Commitments",2021,1,3,"Specific donor","ODA","Volume",971.933688287765,"Monthly",NA
"376","Canada","Canada",NA,"Commitments",2021,2,4,"Specific donor","ODA","Volume",58.953793029,"Monthly",NA
"377","Canada","Canada",NA,"Commitments",2021,2,5,"Specific donor","ODA","Volume",19.377816195,"Monthly",NA
"378","Canada","Canada",NA,"Commitments",2021,2,6,"Specific donor","ODA","Volume",21.3013176645,"Monthly",NA
"379","Canada","Canada",NA,"Commitments",2021,3,7,"Specific donor","ODA","Volume",96.5189116986,"Monthly",NA
"380","Canada","Canada",NA,"Commitments",2021,3,8,"Specific donor","ODA","Volume",30.876,"Monthly",NA
"381","Canada","Canada",NA,"Commitments",2021,3,9,"Specific donor","ODA","Volume",72.2106290238,"Monthly",NA
"418","Canada","Canada",NA,"Commitments",2020,4,10,"Specific donor","OOF","Volume",0,"Monthly",NA
"419","Canada","Canada",NA,"Commitments",2020,4,11,"Specific donor","OOF","Volume",0,"Monthly",NA
"420","Canada","Canada",NA,"Commitments",2020,4,12,"Specific donor","OOF","Volume",0,"Monthly",NA
"421","Canada","Canada",NA,"Commitments",2021,1,1,"Specific donor","OOF","Volume",0,"Monthly",NA
"422","Canada","Canada",NA,"Commitments",2021,1,2,"Specific donor","OOF","Volume",0,"Monthly",NA
"423","Canada","Canada",NA,"Commitments",2021,1,3,"Specific donor","OOF","Volume",4.9956812232,"Monthly",NA
"424","Canada","Canada",NA,"Commitments",2021,2,4,"Specific donor","OOF","Volume",0,"Monthly",NA
"425","Canada","Canada",NA,"Commitments",2021,2,5,"Specific donor","OOF","Volume",0,"Monthly",NA
"426","Canada","Canada",NA,"Commitments",2021,2,6,"Specific donor","OOF","Volume",0,"Monthly",NA
"427","Canada","Canada",NA,"Commitments",2021,3,7,"Specific donor","OOF","Volume",0.23157,"Monthly",NA
"428","Canada","Canada",NA,"Commitments",2021,3,8,"Specific donor","OOF","Volume",0,"Monthly",NA
"429","Canada","Canada",NA,"Commitments",2021,3,9,"Specific donor","OOF","Volume",0.8268260883,"Monthly",NA
"466","Canada","Canada",NA,"Commitments",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"467","Canada","Canada",NA,"Commitments",2020,4,11,"Specific donor","Other flows","Volume",0,"Monthly",NA
"468","Canada","Canada",NA,"Commitments",2020,4,12,"Specific donor","Other flows","Volume",0,"Monthly",NA
"469","Canada","Canada",NA,"Commitments",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"470","Canada","Canada",NA,"Commitments",2021,1,2,"Specific donor","Other flows","Volume",0,"Monthly",NA
"471","Canada","Canada",NA,"Commitments",2021,1,3,"Specific donor","Other flows","Volume",0,"Monthly",NA
"472","Canada","Canada",NA,"Commitments",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"473","Canada","Canada",NA,"Commitments",2021,2,5,"Specific donor","Other flows","Volume",0,"Monthly",NA
"474","Canada","Canada",NA,"Commitments",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"475","Canada","Canada",NA,"Commitments",2021,3,7,"Specific donor","Other flows","Volume",0,"Monthly",NA
"476","Canada","Canada",NA,"Commitments",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"477","Canada","Canada",NA,"Commitments",2021,3,9,"Specific donor","Other flows","Volume",0,"Monthly",NA
"514","Denmark","Denmark",NA,"Commitments",2020,4,10,"Specific donor","All flows","Volume",83.4609247111,"Monthly",NA
"515","Denmark","Denmark",NA,"Commitments",2020,4,11,"Specific donor","All flows","Volume",84.049321086708,"Monthly",NA
"516","Denmark","Denmark",NA,"Commitments",2020,4,12,"Specific donor","All flows","Volume",1103.9731816905,"Monthly",NA
"517","Denmark","Denmark",NA,"Commitments",2021,1,1,"Specific donor","All flows","Volume",622.054449804792,"Monthly",NA
"518","Denmark","Denmark",NA,"Commitments",2021,1,2,"Specific donor","All flows","Volume",349.4368416888,"Monthly",NA
"519","Denmark","Denmark",NA,"Commitments",2021,1,3,"Specific donor","All flows","Volume",446.579191607928,"Monthly",NA
"520","Denmark","Denmark",NA,"Commitments",2021,2,4,"Specific donor","All flows","Volume",324.061101432,"Monthly",NA
"521","Denmark","Denmark",NA,"Commitments",2021,2,5,"Specific donor","All flows","Volume",59.7935947128,"Monthly",NA
"522","Denmark","Denmark",NA,"Commitments",2021,2,6,"Specific donor","All flows","Volume",368.1156964824,"Monthly",NA
"523","Denmark","Denmark",NA,"Commitments",2021,3,7,"Specific donor","All flows","Volume",130.474307978472,"Monthly",NA
"524","Denmark","Denmark",NA,"Commitments",2021,3,8,"Specific donor","All flows","Volume",110.728230156,"Monthly",NA
"525","Denmark","Denmark",NA,"Commitments",2021,3,9,"Specific donor","All flows","Volume",159.6867449388,"Monthly",NA
"562","Denmark","Denmark",NA,"Commitments",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"563","Denmark","Denmark",NA,"Commitments",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"564","Denmark","Denmark",NA,"Commitments",2020,4,12,"Specific donor","Not specified","Volume",0,"Monthly",NA
"565","Denmark","Denmark",NA,"Commitments",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"566","Denmark","Denmark",NA,"Commitments",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"567","Denmark","Denmark",NA,"Commitments",2021,1,3,"Specific donor","Not specified","Volume",0,"Monthly",NA
"568","Denmark","Denmark",NA,"Commitments",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"569","Denmark","Denmark",NA,"Commitments",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"570","Denmark","Denmark",NA,"Commitments",2021,2,6,"Specific donor","Not specified","Volume",0,"Monthly",NA
"571","Denmark","Denmark",NA,"Commitments",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
"572","Denmark","Denmark",NA,"Commitments",2021,3,8,"Specific donor","Not specified","Volume",0,"Monthly",NA
